BorderStyle,BorderThickness,ChEBI,Color,Ensembl,FillColor,GraphID,Height,IsGPMLShape,LabelFont,LabelSize,name,selected,Shape,shared name,Transparent,Type,Width,XrefDatasource,XrefId
,1,,#666666,ENSG00000094631,#ffffff,eae0e,65.77885391444585,,Arial Bold,20,HDAC6,FALSE,Rectangle,HDAC6,FALSE,GeneProduct,183.25170913023595,Ensembl,ENSG00000094631
,1,,#000000,ENSG00000176697,#ffffff,ff651,25,,Arial,13,BDNF,FALSE,Rectangle,BDNF,FALSE,GeneProduct,90,Ensembl,ENSG00000176697
,1,,#000000,ENSG00000130203,#ffffff,b2c8f,25,,Arial,13,"APOE

",FALSE,Rectangle,"APOE

",FALSE,GeneProduct,90,Ensembl,ENSG00000130203
,1,,#000000,ENSG00000214413,#ffffff,fccab,25,,Arial,13,"BBIP1

",FALSE,Rectangle,"BBIP1

",FALSE,GeneProduct,90,Ensembl,ENSG00000214413
,1,,#000000,ENSG00000186868,#ffffff,df727,25,,Arial,13,"MAPT
",FALSE,Rectangle,"MAPT
",FALSE,GeneProduct,90,Ensembl,ENSG00000186868
,1,,#000000,ENSG00000163517,#ffffff,fa36c,25,,Arial,13,"HDAC11
",FALSE,Rectangle,"HDAC11
",FALSE,GeneProduct,90,Ensembl,ENSG00000163517
,1,,#000000,ENSG00000157554,#ffffff,f9a5b,25,,Arial,13,ERG,FALSE,Rectangle,ERG,FALSE,GeneProduct,90,Ensembl,ENSG00000157554
,1,,#000000,ENSG00000048052,#ffffff,fc69d,25,,Arial,13,HDAC9,FALSE,Rectangle,HDAC9,FALSE,GeneProduct,90,Ensembl,ENSG00000048052
,1,,#000000,ENSG00000161011,#ffffff,e200b,25,,Arial,13,"SQSTM1

",FALSE,Rectangle,"SQSTM1

",FALSE,GeneProduct,90,Ensembl,ENSG00000161011
,1,,#000000,ENSG00000146755,#ffffff,edb66,25,,Arial,13,"TRIM50				",FALSE,Rectangle,"TRIM50				",FALSE,GeneProduct,90,Ensembl,ENSG00000146755
,1,,#000000,ENSG00000213886,#ffffff,d0a38,25,,Arial,13,"UBD

",FALSE,Rectangle,"UBD

",FALSE,GeneProduct,90,Ensembl,ENSG00000213886
,1,,#000000,ENSG00000145907,#ffffff,d6301,25,,Arial,13,"G3BP1

",FALSE,Rectangle,"G3BP1

",FALSE,GeneProduct,90,Ensembl,ENSG00000145907
,1,,#000000,ENSG00000171368,#ffffff,d97e0,25,,Arial,13,"TPPP
",FALSE,Rectangle,"TPPP
",FALSE,GeneProduct,90,Ensembl,ENSG00000171368
,1,,#000000,ENSG00000171132,#ffffff,e86e2,25,,Arial,13,"PRKCE

",FALSE,Rectangle,"PRKCE

",FALSE,GeneProduct,90,Ensembl,ENSG00000171132
,1,,#000000,ENSG00000175387,#ffffff,aa26f,25,,Arial,13,"SMAD2
",FALSE,Rectangle,"SMAD2
",FALSE,GeneProduct,90,Ensembl,ENSG00000175387
,1,,#000000,ENSG00000007062,#ffffff,fd214,25,,Arial,13,PROM1,FALSE,Rectangle,PROM1,FALSE,GeneProduct,90,Ensembl,ENSG00000007062
,1,,#000000,ENSG00000119318,#ffffff,a62b8,25,,Arial,13,"RAD23B
",FALSE,Rectangle,"RAD23B
",FALSE,GeneProduct,90,Ensembl,ENSG00000119318
,1,,#000000,ENSG00000142208,#ffffff,c3812,25,,Arial,13,"AKT1

",FALSE,Rectangle,"AKT1

",FALSE,GeneProduct,90,Ensembl,ENSG00000142208
,1,,#000000,ENSG00000001626,#ffffff,e2a91,25,,Arial,13,"CFTR
",FALSE,Rectangle,"CFTR
",FALSE,GeneProduct,90,Ensembl,ENSG00000001626
,1,,#000000,ENSG00000187608,#ffffff,a4c52,25,,Arial,13,ISG15,FALSE,Rectangle,ISG15,FALSE,GeneProduct,90,Ensembl,ENSG00000187608
,1,,#000000,ENSG00000100393,#ffffff,a37ea,25,,Arial,13,"EP300

",FALSE,Rectangle,"EP300

",FALSE,GeneProduct,90,Ensembl,ENSG00000100393
,1,,#000000,ENSG00000142168,#ffffff,bf72e,25,,Arial,13,"SOD1
",FALSE,Rectangle,"SOD1
",FALSE,GeneProduct,90,Ensembl,ENSG00000142168
,1,,#000000,ENSG00000173020,#ffffff,f7c70,25,,Arial,13,"GRK2
",FALSE,Rectangle,"GRK2
",FALSE,GeneProduct,90,Ensembl,ENSG00000173020
,1,,#000000,ENSG00000082701,#ffffff,f403a,25,,Arial,13,"GSK3B
",FALSE,Rectangle,"GSK3B
",FALSE,GeneProduct,90,Ensembl,ENSG00000082701
,1,,#000000,ENSG00000067606,#ffffff,bb209,25,,Arial,13,"PRKCZ
",FALSE,Rectangle,"PRKCZ
",FALSE,GeneProduct,90,Ensembl,ENSG00000067606
,1,,#000000,ENSG00000146648,#ffffff,f285b,25,,Arial,13,"EGFR
",FALSE,Rectangle,"EGFR
",FALSE,GeneProduct,90,Ensembl,ENSG00000146648
,1,,#000000,ENSG00000087586,#ffffff,f0507,25,,Arial,13,"AURKA
",FALSE,Rectangle,"AURKA
",FALSE,GeneProduct,90,Ensembl,ENSG00000087586
,1,,#000000,ENSG00000102882,#ffffff,cdce6,25,,Arial,13,"MAPK3

",FALSE,Rectangle,"MAPK3

",FALSE,GeneProduct,90,Ensembl,ENSG00000102882
,1,,#000000,ENSG00000100030,#ffffff,cfc06,25,,Arial,13,"MAPK1
",FALSE,Rectangle,"MAPK1
",FALSE,GeneProduct,90,Ensembl,ENSG00000100030
,1,,#000000,ENSG00000068903,#ffffff,b6b1d,25,,Arial,13,"SIRT2
",FALSE,Rectangle,"SIRT2
",FALSE,GeneProduct,90,Ensembl,ENSG00000068903
