""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"8038326"	0.351767728061102	1.27612329817422	3.82927848264722	3.05196805103777	0.00688111610597161	0.0730164897537546
"7940210"	-0.175845929989466	-1.12962657169937	2.67480226961201	-3.05195759241821	0.00688127293291534	0.0730164897537546
"8019250"	-0.242008779819343	-1.18263819741183	8.77589809399753	-3.05167857935934	0.00688545801685449	0.0730262332808205
"7942998"	-0.931873084358904	-1.90775126650885	6.62511354944175	-3.05160397016526	0.00688657754457688	0.0730262332808205
"7892766"	-0.270651614672409	-1.20635257174172	9.78151762965214	-3.05124473573873	0.00689197041856449	0.0730601525077815
"7990442"	-0.252184747552594	-1.19100935697716	5.39221837211974	-3.05095556688188	0.00689631444496118	0.0730829350967131
"7899134"	-0.329316266866682	-1.25641778221739	5.77273671082852	-3.05059764026683	0.00690169507262413	0.073084758624701
"8103374"	0.431370738212581	1.34851422320408	5.28054587267423	3.05058063984378	0.0069019507376521	0.073084758624701
"8139534"	0.295621879025266	1.22741394455261	3.84828366804809	3.05050613378619	0.00690307132398369	0.073084758624701
"8122537"	0.381660560487145	1.30284057896004	5.75657807644725	3.04904587187291	0.0069250697398021	0.0732737528537678
"8136341"	-0.35133556933412	-1.2757410931942	6.46935702440621	-3.04877255607575	0.00692919473505449	0.0732737528537678
"7893299"	0.760623466136522	1.69422263128314	4.30880647650457	3.0486882922436	0.00693046696191145	0.0732737528537678
"7923503"	-0.28192491680547	-1.21581600596746	8.77767925059487	-3.04857786510004	0.00693213455018192	0.0732737528537678
"8035836"	0.169815032546243	1.12491425055911	2.30638295279354	3.0484892241746	0.00693347342177956	0.0732737528537678
"7925130"	0.617716712935618	1.53444476341113	6.54829254030845	3.04834263463657	0.00693568812698768	0.0732737528537678
"8153625"	-0.290558459115188	-1.22311364646256	4.6404868503224	-3.04830037872395	0.00693632666591814	0.0732737528537678
"7894494"	0.600051303585469	1.51577046776802	5.96155922810768	3.04780793304719	0.00694377234677645	0.0733291429846545
"7893542"	0.493063602229233	1.40743042152131	5.52053834895567	3.04735445471705	0.00695063572776849	0.0733783506111311
"8152314"	0.496867370579617	1.4111461083723	6.29137438655353	3.04704567247708	0.00695531291533803	0.0734044545616514
"7895592"	0.650757823503229	1.56999267004566	6.08853508820839	3.04681886720846	0.00695875033188182	0.0734062947880937
"8124280"	0.435848100908103	1.35270579928602	6.38031270405838	3.04673412114532	0.00696003515094013	0.0734062947880937
"8098379"	0.408531268759137	1.32733383790204	7.83254458182126	3.0465978867723	0.00696210105837763	0.0734062947880937
