"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"107997","BCKAD-E2|RP11-305E17.3|E2B|BCKADE2|DBT|1629|E2|BCATE2","BCKAD-E2","1629","1629","false","1629","9606",""
"108081","DLTA|PDC-E2|DLAT|PDCE2|1737","DLTA","1737","1737","false","1737","9606",""
"108082","PHE3|GCSL|DLDD|1738|DLDH|DLD|tcag7.39|E3|LAD","PHE3","1738","1738","false","1738","9606",""
"108087","1743|DLTS|DLST","DLTS","1743","1743","false","1743","9606",""
"106707","AK 2|ADK2|204|AK2","AK 2","204","204","false","204","9606",""
"107765","L-CPT1|CPT1A|CPT1|1374|CPT1-L","L-CPT1","1374","1374","false","1374","9606",""
"109534","DNAJA1|HSDJ|HSJ2|HDJ2|3301|DjA1|hDJ-2|DJ-2|NEDD7|RP11-54K16.1|HSPF4","DNAJA1","3301","3301","false","3301","9606",""
"111017","OGDC|AKGDH|OGDH|4967|E1k","OGDC","4967","4967","false","4967","9606",""
"111186","PDHAD|PDHA1|PDHCE1A|PHE1A|RP11-723P2.1|PDHA|5160","PDHAD","5160","5160","false","5160","9606",""
"111188","5162|PDHBD|PDHE1-B|PHE1B|PDHB","PDHBD","5162","5162","false","5162","9606",""
"113616","SKMc15|IFRD2|7866|SM15|IFNRP","SKMc15","7866","7866","false","7866","9606",""
"113737","OPDX|PDHX|PDX1|8050|DLDBP|E3BP|proX","OPDX","8050","8050","false","8050","9606",""
"114737","GTF3C5|TFIIIC63|TFIIICepsilon|TFiiiC2-63|9328|RP11-326L24.5","GTF3C5","9328","9328","false","9328","9606",""
"115184","ZNF518|ZNF518A|9849","ZNF518","9849","9849","false","9849","9606",""
"115782","10527|Imp7|IPO7|RANBP7","Imp7","10527","10527","false","10527","9606",""
"116420","XPOT|11260|XPO3","XPOT","11260","11260","false","11260","9606",""
"117429","25929|GEMIN-5|GEMIN5","GEMIN-5","25929","25929","false","25929","9606",""
"118909","ABT1|29777|hABT1","ABT1","29777","29777","false","29777","9606",""
"118978","29941|PKN3|RP11-545E17.1","PKN3","29941","29941","false","29941","9606",""
"120269","54929|TMEM161A|UNQ582/PRO1152|AROS-29","TMEM161A","54929","54929","false","54929","9606",""
"120506","55210|RP5-832C2.1|ATAD3A","RP5-832C2.1","55210","55210","false","55210","9606",""
"113348","XPO1|7514|emb|exp1|CRM1","XPO1","7514","7514","false","7514","9606",""
"115779","10524|KAT5|PLIP|TIP60|HTATIP1|cPLA2|TIP|HTATIP|ZC2HC5|ESA1","KAT5","10524","10524","false","10524","9606",""
"111493","PP-1A|PP1A|5499|PP1alpha|PPP1A|PPP1CA","PP-1A","5499","5499","false","5499","9606",""
"120308","SMAR1|54971|BEND1|SMARBP1|BANP","SMAR1","54971","54971","false","54971","9606",""
"115900","10657|KHDRBS1|p68|p62|Sam68","KHDRBS1","10657","10657","false","10657","9606",""
"116634","fSAP152|ACINUS|ACIN1|ACN|22985","fSAP152","22985","22985","false","22985","9606",""
"120592","DDX19A|55308|DDX19-DDX19L|DDX19L","DDX19A","55308","55308","false","55308","9606",""
"122343","ATL1-alpha|64919|RIT1|BCL11B|ZNF856B|ATL1|ATL1-beta|hRIT1-alpha|ATL1-gamma|CTIP-2|ATL1-delta|CTIP2","ATL1-alpha","64919","64919","false","64919","9606",""
"115054","CEP57|TSP57|9702|MVA2|PIG8","CEP57","9702","9702","false","9702","9606",""
"118946","CPSF1|P/cl.18|29894|CPSF160|HSU37012","CPSF1","29894","29894","false","29894","9606",""
"107091","SDR9C1|BDH1|622|BDH","SDR9C1","622","622","false","622","9606",""
"115015","IQCB1|SLSN5|9657|PIQ|OK/SW-cl.85|NPHP5","IQCB1","9657","9657","false","9657","9606",""
"116667","KDM1A|AOF2|BHC110|RP1-184J9.1|LSD1|23028|KDM1","KDM1A","23028","23028","false","23028","9606",""
"107850","1468|SLC25A10|DIC","SLC25A10","1468","1468","false","1468","9606",""
"124961","TIM50|PRO1512|TIM50L|92609|TIMM50","TIM50","92609","92609","false","92609","9606",""
"115982","CTA-268H5.7|NPAP60L|NUP50|NPAP60|10762","CTA-268H5.7","10762","10762","false","10762","9606",""
"116502","PUF60|22827|RoBPI|SIAHBP1|VRJS|FIR","PUF60","22827","22827","false","22827","9606",""
"119534","ABS|DDX41|51428","ABS","51428","51428","false","51428","9606",""
"113867","MRX99|FAM|USP9X|DFFRX|RP5-1172N10.4|8239|FAF","MRX99","8239","8239","false","8239","9606",""
"111384","5371|MYL|TRIM19|PP8675|RNF71|PML","MYL","5371","5371","false","5371","9606",""
"115247","9919|RP11-413M3.10|KIAA0310|SEC16A|SEC16L|p250","RP11-413M3.10","9919","9919","false","9919","9606",""
"117071","SRRM2|300-KD|HSPC075|CWF21|Cwc21|SRm300|23524|SRL300","SRRM2","23524","23524","false","23524","9606",""
"115580","PRP21|10291|SF3A1|SAP114|PRPF21|SF3A120","PRP21","10291","10291","false","10291","9606",""
"112483","Rsc8|SMARCC1|6599|CRACC1|SWI3|SRG3|BAF155","Rsc8","6599","6599","false","6599","9606",""
"108421","TEL/ABL|2120|TEL|ETV6","TEL/ABL","2120","2120","false","2120","9606",""
"113622","USP7|7874|TEF1|HAUSP","USP7","7874","7874","false","7874","9606",""
"114637","MYM|DXS6673E|ZMYM3|ZNF198L2|ZNF261|9203|XFIM","MYM","9203","9203","false","9203","9606",""
"111919","DAAP-182E11.3|RNF76|5987|TRIM27|RFP","DAAP-182E11.3","5987","5987","false","5987","9606",""
"111824","P58|RP11-131A5.1|HHR23B|5887|HR23B|RAD23B","P58","5887","5887","false","5887","9606",""
"107243","CAD|790","CAD","790","790","false","790","9606",""
"120223","54875|C9orf101|C9orf39|RP11-163F8.4|bA340N12.1|CNTLN","C9orf101","54875","54875","false","54875","9606",""
"120939","BM032|SCKL4|CPAP|Sas-4|CENP-J|MCPH6|CENPJ|SASS4|RP11-756A22.2|55835|LAP|LIP1","BM032","55835","55835","false","55835","9606",""
"119733","51807|TUBAL2|TUBA8","TUBAL2","51807","51807","false","51807","9606",""
